raceId,max_pit_duration,mean_pit_duration,min_pit_duration,total_pit_stops,year,round,circuitId,race_name,date,circuit_name,country,alt,lat,lng,avg_stop_lap,num_stops,avg_grid_top3,total_pit_stops_winner
918,22.054,21.923666666666666,21.661,6,2014,19,24,Abu Dhabi Grand Prix,2014-11-23,Yas Marina Circuit,UAE,3,24.4672,54.6031,23.666666666666668,6,3.0,2.0
926,22.694,22.364666666666665,22.105,3,2015,1,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,25.0,3,2.333333333333333,1.0
927,33.689,25.819375,23.996,8,2015,2,2,Malaysian Grand Prix,2015-03-29,Sepang International Circuit,Malaysia,18,2.76083,101.738,23.875,8,2.0,3.0
928,22.829,22.520666666666667,22.235,6,2015,3,17,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,5,31.3389,121.22,22.666666666666668,6,2.0,2.0
929,25.791,25.061333333333334,24.528,6,2015,4,3,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,25.5,6,2.6666666666666665,2.0
930,24.586,22.456857142857142,21.762,7,2015,5,4,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,30.0,7,2.0,3.0
931,25.495,24.829,24.181,4,2015,6,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,7,43.7347,7.42056,44.0,4,2.0,2.0
932,25.541,24.19,23.321,3,2015,7,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,29.0,3,2.333333333333333,1.0
933,22.447,22.028,21.768,3,2015,8,70,Austrian Grand Prix,2015-06-21,Red Bull Ring,Austria,678,47.2197,14.7647,34.0,3,2.333333333333333,1.0
934,30.393,29.134,28.393,6,2015,9,9,British Grand Prix,2015-07-05,Silverstone Circuit,UK,153,52.0786,-1.01694,30.5,6,3.0,2.0
936,31.037,20.65685714285714,16.453,14,2015,10,11,Hungarian Grand Prix,2015-07-26,Hungaroring,Hungary,264,47.5789,19.2486,39.5,14,4.666666666666667,6.0
937,23.717,23.055,22.403,6,2015,11,13,Belgian Grand Prix,2015-08-23,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,19.33333333333333,6,4.0,2.0
938,25.207,24.63833333333333,24.34,3,2015,12,14,Italian Grand Prix,2015-09-06,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,23.33333333333333,3,3.0,1.0
939,31.307,29.98183333333333,29.172,6,2015,13,15,Singapore Grand Prix,2015-09-20,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,25.0,6,2.0,1.0
940,23.241,23.073,22.75,6,2015,14,22,Japanese Grand Prix,2015-09-27,Suzuka Circuit,Japan,45,34.8431,136.541,22.33333333333333,6,2.333333333333333,2.0
941,30.545,30.042666666666666,29.367,3,2015,15,71,Russian Grand Prix,2015-10-11,Sochi Autodrom,Russia,2,43.4057,39.9578,24.666666666666668,3,4.333333333333333,1.0
